,ticker1,ticker2,cashWallet,startDate,endDate,SharesOwnedT1,SharesOwnedT2,percentChange
0,ACAD,AIRTP,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
1,ACDC,AIRJ,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
2,ACOG,AEG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
3,ADAG,AIMD,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
4,AGNCN,AGNCP,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
5,ALT,ASLE,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
6,ALTI,AMC,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
7,ALVOW,AREN,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
8,AMTB,ATLCP,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
9,ATHS,ATLCZ,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
10,ATLCP,ATLCZ,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
11,ATNFW,BDMDW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
12,ATUS,BCTX,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
13,AUUDW,BDMDW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
14,AZTR,BDMDW,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
15,BACQ,BBDC,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
16,BANFP,BDL,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
17,BEAT,CCG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
18,BENFW,CCG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
19,BETRW,CCG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
20,BFRI,CCG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
21,BGT,BSL,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
22,BHST,BTOC,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
23,BITF,CCG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
24,BKHAR,CCG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
25,BKYI,CCG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
26,BLMZ,CCG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
27,BLNE,CCG,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
