index,stock1,stock2,mse
0,AACIU,ALCY,0.1708835227272728
1,ABAT,AIMDW,1.9543728939393936
2,ABPWW,AIMDW,0.0018602451515151
3,ACAD,AIRTP,0.5643776617647058
4,ACDC,AIRJ,2.1656194776470588
5,ACIU,AIFF,0.0474885055882353
6,ACOG,AEG,0.4250743029411764
7,ACON,AIMDW,0.0169558743243243
8,ACONW,AIMDW,0.0001665227027027
9,ADAG,AIMD,3.307279393783784
10,ADIL,AIMDW,1.0848178827027029
11,ADUR,AEG,0.805245945945946
12,AGNCM,AGNCP,1.1424517286904758
13,AGNCN,AGNCP,3.1949562280158728
14,AIMD,AIMDW,0.8164715967492104
15,ALFUW,ATCH,0.0138500729245283
16,ALLR,ASBPW,1.3092251401270834
17,ALT,ASLE,2.6337885912698416
18,ALTI,AMC,1.5812400485317462
19,ALTO,ATCH,4.499151944722222
20,ALVOW,AREN,4.781553898611111
21,ALZN,ASBPW,2.772530437071528
22,AMBO,ASBPW,2.17543386871002
23,AMC,APPS,4.9356089007936506
24,AMTB,ATLCP,2.85850255437811
25,APDN,ASBPW,1.4605932511985118
26,APOS,ATLCZ,3.698342586019901
27,APPS,ATCH,3.754929649880952
28,AQNB,ATLCZ,0.2961105043781095
29,ARBE,ASBPW,3.555175793420734
30,AREBW,ASBPW,0.0007013880318452
31,AREN,ASBPW,1.2403161754445438
32,ATHS,ATLCZ,0.2732291211442786
33,ATLCP,ATLCZ,4.557153072155172
34,ATMCR,BDMDW,0.0139822571428571
35,ATNF,BDMDW,4.466443919047618
36,ATNFW,BDMDW,0.00065961
37,ATUS,BCTX,3.0352826609523813
38,AUUDW,BDMDW,0.0002015647619047
39,AWRE,BDMDW,2.2838841304761908
40,AZTR,BDMDW,0.179314299047619
41,BACQ,BBDC,0.1079672633333331
42,BANFP,BDL,1.4982811798809526
43,BCTX,BDMDW,4.7157550442063485
44,BEAT,CCG,3.6117703553706177
45,BEDU,CCG,0.9623753297823824
46,BENFW,CCG,0.7263066317059118
47,BETRW,CCG,0.5919879571353237
48,BFRI,CCG,0.0349706850764999
49,BGT,BSL,2.060938235294117
50,BHST,BTOC,1.0570798238235295
51,BITF,CCG,1.4997427583532128
52,BKHAR,CCG,0.0321542083532127
53,BKYI,CCG,0.118631671544702
54,BLMZ,CCG,0.0499562232468297
55,BLNE,CCG,0.0581698295872553
56,BMR,CARV,2.867249097446809
57,BNAIW,CCG,0.6755615625149148
58,BNGO,CCG,0.3569287128212978
59,BNRG,CCG,0.0149150864383191
60,BNY,BOWNU,0.1835227182539681
61,BOF,CCG,0.8211026306936383
62,BRTX,CCG,0.453871671757468
63,BSET,BSL,1.0436651630952385
64,BTBD,CCG,0.5087535545234254
65,BTBT,BTOC,2.8447617075625
66,BTCM,CCG,4.784141957927681
67,BTM,CCG,1.0999393213319364
68,BURU,CCG,0.1597479425191702
69,CAPNR,CCG,0.5356021938297872
70,CARV,CCG,0.8223369614750179
71,CCIRW,DUO,0.097555329047619
72,CCIX,DX,4.8918066370833335
73,CCO,DUO,0.7017066995833333
74,CCTG,DUO,1.089595283333333
75,CDIOW,DUO,0.3509612720833333
76,CERO,DUO,0.3264086566666666
77,CGBDL,DNTH,4.194829732083334
78,CGBSW,DUO,0.4105145941666667
79,CHR,DUO,4.06445275027027
80,CHSCL,DDT,0.062155255
81,CHSCM,DDT,0.3629539464062498
82,CHSCN,DDT,0.1399634053125
83,CHSCO,DDT,0.9070757439062498
84,CIB,DMLP,1.1315486486486488
85,CIMN,DDT,0.3598587621875
86,CINGW,DUO,0.4700456429729729
87,CLBR,DX,2.300732727297297
88,CLNE,DUO,4.385980858378378
89,CLNNW,DUO,0.4729782264864864
90,CLST,DX,0.8889298116216219
91,CMND,DUO,0.5097694097297297
92,CNCK,DSU,3.304386737567568
93,CNDT,DGXX,4.831967567567567
94,CNFR,DUO,0.2083907483783783
95,CNSP,DUO,0.3829814024324324
96,CNTB,DUO,0.152344891081081
97,COCHW,DUO,0.4418142375675676
98,CODI,DJTWW,3.703351351351352
99,CPS,DAWN,1.6729203125000005
100,CRGOW,DUO,0.3445485478378378
101,CSWCZ,DDT,0.0403433845312498
102,CTNT,DTCK,4.850062045135135
103,CTSO,DUO,0.0790730386486486
104,CURB,CWCO,4.560871875
105,CVAC,DUO,4.908940047567567
106,CYCN,DTCK,4.5502540345945945
107,DATS,DUO,1.5096394529729729
108,DATSW,DUO,0.4582111651351351
109,DAWN,DX,2.3589756756756755
110,DDC,DUO,0.31310578
111,DEVS,DUO,0.0903213127027027
112,DGXX,DUO,0.9934375887362064
113,DRMAW,DUO,0.7168274894520793
114,DSL,DX,0.1734592261904762
115,DSS,DUO,1.1359896723473175
116,DSU,DX,2.063387797619048
117,DTCK,DUO,0.4135157509426547
118,EBON,GAB,4.5437
119,ECAT,FVR,2.7262735152500004
120,ECCX,FTAIN,1.3300349515686276
121,ECDA,FVNNR,0.7528325645
122,ECDAW,FVNNR,0.010575761
123,ECX,FVNNR,2.99145226275
124,EDBLW,FVNNR,0.01098695575
125,EDUC,FVNNR,2.9368768972499995
126,EEIQ,FVNNR,0.6818617552500001
127,EFOI,FVNNR,1.50898978025
128,EFR,FVCB,0.5938200980392155
129,EFT,FVCB,0.3082279411764708
130,EIC,ESCA,2.235175
131,EIIA,FTAIN,0.7082212329411762
132,EJH,FVNNR,0.43386920875
133,ELUT,GAB,2.50246930325
134,EMCGW,FVNNR,0.012092052
135,ENIC,FUBO,1.828824840764331
136,ENTO,FVNNR,0.2117057425
137,ENX,FUND,4.316750884049079
138,EP,GAB,0.888878125
139,EPM,GAB,0.069155
140,ESCA,FVCB,3.813652346932515
141,ESLA,FVNNR,0.8869930095
142,ESPR,FURY,3.4186900490797547
143,ETD,FRAF,4.756014416993865
144,EVM,FUND,3.16195778822086
145,EXPI,FVCB,0.9089648432515336
146,FBIO,FVNNR,3.08495306225
147,FBRT,FVCB,1.83071415
148,FCT,FVCB,4.827442002760737
149,FCUV,FVNNR,0.0201777894999999
150,FIGS,GAB,0.4134606249999999
151,FITBI,FTAIN,0.2008624064285714
152,FLL,GAB,1.1524575
153,FRAF,FWRD,4.730797068500002
154,FRMEP,FTAIN,0.1471358617063491
155,FTHM,FVNNR,3.39168681225
156,FUBO,FVNNR,1.92811136225
157,FURY,FVNNR,0.0810834025
158,GAP,GOODN,4.584468570227272
159,GAUZ,GRFS,1.8246982954545448
160,GDTC,HIHO,0.4168766161363637
161,GECC,GF,4.222858319545455
162,GECCI,GOODN,3.109902307954546
163,GECCZ,GOODN,3.583068525454544
164,GELS,HIHO,0.8662269047727272
165,GF,GRFS,0.4839871065625
166,GGROW,HIHO,3.66713876901868
167,GIBOW,HIHO,3.6709362652
168,GITS,HIHO,2.9024082056
169,GJO,GLADZ,0.1467111091666665
170,GJP,GLADZ,0.3376574615476187
171,GJR,GLADZ,0.1960617032936507
172,GNLX,HIHO,0.6013842182666668
173,GOSS,HIHO,1.163416246533333
174,GOVX,HIHO,0.3309883515999999
175,GPATW,HIHO,3.332430567069013
176,GREE,HIHO,0.1724918716
177,GRI,HIHO,1.628338927733333
178,GRYP,HIHO,1.7985237791999995
179,GTBP,HIHO,0.7109531417333333
180,GUTS,HIHO,0.3096654849333333
181,GWAV,HIHO,2.1921865369333333
182,HAO,HIHO,2.9984033394666665
183,HCWC,HIHO,1.1653870369333337
184,HFFG,HIHO,2.937249471309524
185,HIVE,JEQ,4.305545235789474
186,HIX,JFIN,4.73892731859649
187,HKIT,JSPRW,1.3346083505263155
188,HLF,JOF,0.5235245475438597
189,HLIT,JGH,0.9533789473684208
190,HOND,JFR,1.113081866140351
191,HOVR,JSPRW,0.15601015328125
192,HPK,JGH,1.8764593750000005
193,HROWM,JBK,0.2474215754687496
194,HSCSW,JSPRW,0.02953650390625
195,HSPOR,JSPRW,0.01162113359375
196,HSPOW,JSPRW,0.0362416615625
197,HTFC,INBKZ,1.21914008078125
198,HTH,IRDM,3.998253515625001
199,HTLD,JGH,1.8825859375
200,HUBC,JSPRW,0.1078261082089552
201,HUBCW,JSPRW,0.0376669104850746
202,HUBCZ,JSPRW,0.0395294089552238
203,HUSA,JSPRW,1.311839776567164
204,HWH,JSPRW,0.3264646382089552
205,HYMCL,JSPRW,0.0342732228358208
206,HYT,JOF,4.495067868805971
207,HZO,IRDM,4.433076492537315
208,IBG,JSPRW,1.1136832886567165
209,ICAD,JSPRW,2.0593442738333336
210,ICMB,IZM,0.9433995480833332
211,ICON,IZM,0.3787574662499999
212,IGC,JSPRW,0.0581456407070707
213,IH,JSPRW,2.48886222969697
214,IHS,ISPO,0.9669305171717172
215,IKNA,JSPRW,2.022321636969697
216,IMMX,JSPRW,3.7156496327272728
217,IMRN,JSPRW,4.662526196262626
218,IMUX,JSPRW,1.2814969226262622
219,INBKZ,JBK,2.548502789393939
220,INDO,ISPO,1.4578781115656567
221,INSE,JOF,2.230716282424243
222,INTJ,JSPRW,0.9835539064646464
223,INTS,JEQ,4.593528532863637
224,IRBT,JOF,3.540065923954546
225,IROHR,JSPRW,0.0035164853636363
226,IROHU,JFR,2.665779379772727
227,IROHW,JSPRW,0.0265683580454545
228,ISPO,JEQ,4.263221506626984
229,JEQ,JOF,3.2011758106349206
230,JFBRW,JSPRW,0.0222940988492063
231,JFIN,JOF,2.671898513730159
232,JFR,JOF,1.03328351297619
233,JXG,NAKA,0.1024268163636363
234,KALA,MSC,0.1922374636363636
235,KAPA,NAKA,0.2087821822727273
236,KFS,MSC,4.807084349545455
237,KITTW,NAKA,1.6472727236363631
238,KLTOW,NAKA,1.610288062272727
239,KMPB,MSBIP,2.693594833181819
240,KTTAW,NAKA,1.6344824263636364
241,KVACW,NAKA,1.5584390304545457
242,LANV,NAKA,0.4951631745454545
243,LCID,NAKA,2.0449170454545453
244,LDI,NAKA,0.6778136363636363
245,LEXX,NAKA,1.0715454545454546
246,LFT,NAKA,1.9874045454545453
247,LGCL,NAKA,0.5113085022727274
248,LGO,NAKA,0.4099913749999999
249,LION,MSC,0.6646512945454547
250,LPA,MRNO,2.0932607863636354
251,LPAAW,NAKA,1.4476880236363636
252,LPBB,MRNO,0.6518006031818179
253,LPBBW,NAKA,1.270308190909091
254,LPRO,MSC,0.8104310947142859
255,LPSN,NAKA,0.1025965161428571
256,LPTX,NAKA,3.543253654000001
257,LSH,NAKA,2.5664138312857143
258,LUCK,MRC,2.8618085714285715
259,LUCYW,NAKA,1.2792058114028717
260,MASS,NAKA,3.657708882428572
261,MBAV,MRNO,1.6568863477142854
262,MBAVU,MRNO,1.8329902141428571
263,MBAVW,NAKA,1.0388917014285717
264,MBINM,MSBIP,0.8442053893103446
265,MCRB,NAKA,1.046470345608108
266,MDV,MNSB,4.875451187988506
267,MEGL,NAKA,1.7677037494594594
268,MEIP,NAKA,2.188321265270271
269,METCL,MSBIP,0.4739014045977011
270,MFAN,MSBIP,0.117109516551724
271,MFAO,MSBIP,0.188197177816092
272,MFI,NAKA,1.132573116554054
273,MGIC,MRC,3.1455836140350875
274,MGIH,NAKA,0.7041193673648649
275,MGRM,NAKA,1.418321239662162
276,MHNC,MNSB,1.3531739243421053
277,MHUA,NAKA,1.2638873924324323
278,MIRA,NAKA,1.1406940474999998
279,MITN,MSBIP,0.0730610629385964
280,MITQ,NAKA,1.5713828410810813
281,MLEC,NAKA,0.9289481952027028
282,MLECW,NAKA,3.08493125527027
283,MLYS,MRC,2.1464008928571428
284,MNTK,MURA,2.89603004781746
285,MRKR,MURA,0.7155266561111111
286,MSPRW,NAKA,3.235716479121622
287,MSPRZ,NAKA,3.082659828108108
288,MSS,NAKA,0.7740185398648649
289,MULN,NAKA,3.578782205067568
290,MURA,NAKA,3.639352892432433
291,NCL,OPI,3.099068813515625
292,NCPLW,OPI,3.8328231543749993
293,NEUP,OPI,3.1571463777343745
294,NEWTG,ONBPP,0.099011089375
295,NEWTI,ONBPP,0.0845092984375
296,NIO,OSTX,4.444156029245282
297,NITO,OPI,2.764194689218749
298,NIU,OSTX,2.158871566981132
299,NKSH,OS,3.890773424910716
300,NLY,NTCT,3.5241801587301587
301,NMR,ONL,3.17967421875
302,NRXS,OSTX,0.8002983298113205
303,NTCT,OFSSH,3.9111810251562495
304,NTWK,OSTX,0.8479291801886792
305,NVCT,OCCI,2.257973465078125
306,NVVEW,OPI,3.8044883071875
307,NWTNW,OPI,3.7081356042187497
308,NXDT,ONL,4.012811125
309,NYMTI,ONBPP,0.04731118125
310,OCC,OSTX,0.7673906206603777
311,OCG,OSTX,4.618310388773584
312,ODV,OSTX,2.113601554245283
313,OGEN,OPI,1.2925200978174602
314,OGI,OSTX,2.836687993396226
315,OMH,OPI,3.483398443333333
316,ONBPO,ONBPP,0.0486949475396825
317,ONCY,OPI,2.567227391746032
318,ONL,OSTX,1.2107609160377355
319,ONMD,OPI,3.194641510436508
320,OPEN,OSTX,2.291462932641509
321,OPI,OSTX,2.5426670980188684
322,OWLT,QS,0.8926071085365854
323,PACB,QNRX,1.6391144636585364
324,PARA,PHD,4.787652876984128
325,PARAA,PYT,1.183054494756097
326,PAVM,QNRX,0.29193311
327,PBM,QNRX,1.4225456971951218
328,PBMWW,QNRX,0.4152521076829268
329,PCF,QS,1.938947573170732
330,PCSA,QNRX,0.3240413920731708
331,PDO,QXO,4.646512195121951
332,PENN,PRVA,3.3261850198412706
333,PETS,QS,2.0933332439024395
334,PETZ,QNRX,0.34508402
335,PFLT,QVCD,3.596088777317073
336,PGRE,QS,0.3255558658536586
337,PHUN,QS,4.754798061097561
338,PKST,QVCD,0.4553626187804878
339,PLUG,QNRX,2.244583097682927
340,PMVP,QNRX,0.8622225397560976
341,PRSO,QNRX,0.5513023936585366
342,PRTS,QNRX,0.0948575106097561
343,PTHL,QS,1.2236590179268296
344,PTHS,QNRX,0.8656827541363636
345,PTY,QVCD,2.610039437222222
346,PWM,QNRX,0.9463547664285714
347,PZG,QNRX,2.0975108670238094
348,RAIN,TSHA,1.23715
349,RCKTW,TRUG,0.2321380055555555
350,RCUS,TRIN,3.7610944444444456
351,RDUS,STWD,4.546158333333334
352,REFI,TRIN,2.569069444444444
353,RELIW,TRUG,0.2262358341666666
354,RETO,TSHA,1.804969662222222
355,REVBW,TRUG,0.2540459944444444
356,RFAIR,TSHA,4.92423221
357,RFMZ,TRIN,0.4020206669444447
358,RGC,TSE,3.465618979722222
359,RGCO,TSLX,1.0548283024999998
360,RIOT,TFSL,2.60376875
361,RITM,TGE,1.1924506208333334
362,RIVN,SSTI,1.8759597455555568
363,RMT,TGE,0.1021710652777778
364,RNAZ,SDAWW,3.355069361644444
365,RNW,TSE,3.178691666666668
366,RNXT,TSHA,1.136131858888889
367,ROIV,TGE,4.40947967638889
368,RR,TSHA,2.361702342777777
369,RSVRW,TSHA,1.0633777777777778
370,RVMDW,TSHA,3.7057940138888887
371,RVPHW,TSHA,4.28257445638889
372,RVSN,TSHA,3.2235982919444446
373,RWAYL,TRS,1.7909439550000004
374,RWAYZ,TRS,1.5647361563888893
375,RWTN,TRS,1.464094260555556
376,RZB,TRS,2.084254173611112
377,RZC,TRS,0.9911499999999988
378,SABS,TSHA,2.419614583333333
379,SAIHW,TSHA,4.651306527777777
380,SAJ,TRS,1.5353224544444448
381,SAR,TRS,2.399458333333333
382,SAY,TRS,1.4579196827777787
383,SAZ,TRS,1.1253617572222223
384,SBFMW,TSHA,4.364811002222222
385,SCCC,TRS,3.1412899644444447
386,SCS,TRIN,2.480944444444445
387,SDAWW,TSHA,3.7775867422222222
388,SEE,STK,4.063359027777778
389,SEG,THR,3.759905555555556
390,SELX,TSHA,0.9203699786111113
391,SEPN,TRINZ,4.257760563055554
392,SEVN,TRIN,1.659747222222222
393,SGML,TRIN,4.653111805555556
394,SGMT,TSE,1.4195555555555557
395,SGU,TGE,4.335116903333333
396,SHCO,TSE,2.5107194444444443
397,SHOTW,TSHA,4.574885169722222
398,SIMAW,TSHA,4.76923854361111
399,SJ,TSHA,1.8357935133333336
400,SKYQ,TSHA,1.437306453611111
401,SMTK,TSHA,2.795797757777778
402,SND,TSHA,0.1573451388888888
403,SNRE,TAYD,3.367947419444443
404,SNTG,TSHA,0.2688875724999999
405,SOND,TSHA,1.9395147580555552
406,SONDW,TRUG,0.2554081972222222
407,SPMA,TRS,2.246314000277778
408,SRZN,TGE,2.009115513333333
409,SSRM,TSE,2.743379600166667
410,SSTI,TRIN,4.899009497333333
411,STI,TSHA,2.966988595833334
412,STWD,TSLX,1.0294316666666663
413,SUNS,TRIN,0.7242525868333333
414,SWIN,TSHA,0.4530770036666666
415,SXTPW,TSHA,4.417026605333334
416,SYBX,TSHA,0.5977491828333333
417,SYNX,TSHA,0.9234282481016666
418,SYTAW,TSHA,4.326790128333332
419,TBPH,TGE,0.9857526725000004
420,TC,TSHA,1.2197042495
421,TCRT,TSHA,0.1170694999999999
422,TENX,TSE,2.172920799666666
423,TFSA,TRINZ,1.898510586166668
424,TFSL,TRIN,1.01756875
425,TLS,TSHA,1.9037171937172772
426,TNXP,TSHA,4.493215369581152
427,TOMZ,TSHA,2.9414123940314134
428,TPCS,TSHA,2.2423911930366494
429,TPGXL,TRS,1.216702748691099
430,TRINZ,TRS,1.536032045968586
431,TTNP,VVOS,2.5960904401538456
432,TTSH,UFI,0.7947161428888888
433,TUYA,WALDW,2.439468397384615
434,TVGN,WALDW,1.808506651846154
435,TVGNW,WALDW,0.0081497967692307
436,TWG,UTSI,4.401488244555555
437,TYGO,WALDW,0.989853750153846
438,UBCP,VYX,0.8454210221538462
439,UBXG,WALDW,4.361574908153846
440,UFI,VGAS,4.862170144153847
441,UHGWW,WALDW,0.6922992447692308
442,UTSI,VVOS,1.291703970153846
443,VACH,WB,0.7745709655384612
444,VANI,WALDW,1.2710809197916666
445,VAPEW,WALDW,0.0175371883333333
446,VFS,VVOS,0.9507776035416664
447,VFSWW,WALDW,0.0833499879166666
448,VGAS,VVOS,1.33327805625
