index,key,value,p-value,test-statistic,critical-values
0,AACIU,ALCY,0.012471757070611832,-3.8270279032806296,[-3.94060523 -3.36058133 -3.06139039]
1,ABAT,AIMDW,0.015438032037375145,-3.7573164326429573,[-3.94060523 -3.36058133 -3.06139039]
2,ABPWW,AIMDW,0.04286162802871636,-3.3954208220743824,[-3.94078403 -3.36067957 -3.06145832]
3,ACAD,AIRTP,0.03531272215379503,-3.4682808961615526,[-3.94060523 -3.36058133 -3.06139039]
4,ACDC,AIRJ,0.00038768659265896237,-4.7933710617741525,[-3.94060523 -3.36058133 -3.06139039]
5,ACOG,AEG,0.004768661235467488,-4.122333027362674,[-4.25910272 -3.52754993 -3.17546892]
6,ACONW,AIMDW,3.309431818390402e-05,-5.366029203205061,[-3.94060523 -3.36058133 -3.06139039]
7,ADAG,AIMD,0.010773989878745852,-3.8738720155170676,[-3.94060523 -3.36058133 -3.06139039]
8,ADIL,AIMDW,0.010949333315150347,-3.868740921403733,[-3.94060523 -3.36058133 -3.06139039]
9,AGNCN,AGNCP,0.006083786902134983,-4.050119304099867,[-3.94060523 -3.36058133 -3.06139039]
10,ALLR,ASBPW,0.004609118631609743,-4.1322970662647105,[-3.94060523 -3.36058133 -3.06139039]
11,ALT,ASLE,0.008625383681163555,-3.9436785682821145,[-3.94060523 -3.36058133 -3.06139039]
12,ALTI,AMC,0.0010834274715158638,-4.532252638165182,[-3.94060523 -3.36058133 -3.06139039]
13,ALVOW,AREN,0.021353625698430204,-3.6478228525963416,[-3.94060523 -3.36058133 -3.06139039]
14,ALZN,ASBPW,0.032561930273009555,-3.498125393190442,[-3.94060523 -3.36058133 -3.06139039]
15,AMBO,ASBPW,0.02681477366995955,-3.5681339642254764,[-3.94060523 -3.36058133 -3.06139039]
16,AMTB,ATLCP,0.020690960663206588,-3.658662896168999,[-3.94060523 -3.36058133 -3.06139039]
17,ARBE,ASBPW,0.0011781233649950096,-4.510226481202219,[-3.94060523 -3.36058133 -3.06139039]
18,AREBW,ASBPW,0.0016560459261166392,-4.419433648225159,[-3.94060523 -3.36058133 -3.06139039]
19,AREN,ASBPW,0.004347448665678934,-4.149342011496877,[-3.94060523 -3.36058133 -3.06139039]
20,ATHS,ATLCZ,0.036782958373315106,-3.453127316509013,[-3.95203768 -3.36685108 -3.065724  ]
