index,key,value,p-value,test-statistic,critical-values
0,VNT,RGEN,0.004902143962875283,-4.114227355343475,[-4.1194525  -3.45615522 -3.12701746]
1,AOMR,STT,0.00023388209175702275,-4.91637907440048,[-4.19119188 -3.49314687 -3.15218   ]
2,PEG,NEGG,0.031976181074550074,-3.5047550993553904,[-4.09169685 -3.44165109 -3.11711613]
3,SHAK,SBC,0.003930265160943355,-4.178560761213448,[-4.3881592 -3.5914508 -3.21845  ]
4,TRNO,SDRL,0.027104313380747834,-3.564313384026208,[-4.43598764 -3.61468444 -3.23399178]
5,SBC,FINW,0.030084887852525326,-3.526890652681948,[-8.7298525 -5.2900925 -4.27475  ]
6,NTRA,SEGG,0.002505825366767496,-4.305999740173294,[-5.04192472 -3.89268694 -3.41677222]
7,VTRS,ATHM,0.03217646865718821,-3.502476659732138,[-4.71189859 -3.74466359 -3.32015   ]
8,KMPR,ATHM,0.00045016254787108464,-4.756368012950787,[-4.71189859 -3.74466359 -3.32015   ]
9,WSM,HNW,0.00018799497442252244,-4.968571127504149,[-4.43598764 -3.61468444 -3.23399178]
10,ATHM,TEX,0.02555988418076005,-3.5851136208195196,[-4.02226691 -3.40486235 -3.09191025]
11,IRBT,OPRX,0.0005251064958251764,-4.7179077552656965,[-5.78928688 -4.20650187 -3.6171    ]
12,CRM,RM,0.0016161974831577933,-4.42599896817228,[-4.41097576 -3.60256299 -3.22588889]
13,MNY,RM,0.02877236179330753,-3.5429604908506733,[-4.41097576 -3.60256299 -3.22588889]
14,OPRX,RR,0.04611663592744598,-3.367281803966307,[-4.04235966 -3.41558608 -3.09927143]
15,RR,AYRO,0.016688745588690334,-3.7314238241564985,[-4.1288888 -3.4610612 -3.130362 ]
16,PLRX,SONM,9.962223515929051e-06,-5.62562279017099,[-4.49398399 -3.6425588  -3.25257971]
17,BANL,HON,0.020868601015501743,-3.6557277468762672,[-4.07286615 -3.43174645 -3.11034302]
18,IBP,ITRM,0.004235244828703318,-4.156939586486897,[-4.13915623 -3.46638512 -3.13398889]
19,HON,ITRM,0.0012036991505147035,-4.504561499975659,[-4.05734298 -3.42354125 -3.10472479]
20,MEDP,GKOS,0.02988286765074768,-3.5293246157329228,[-4.03675869 -3.41260327 -3.09722506]
21,LNKB,MMT,0.0007464607327032265,-4.628766562166485,[-6.65306222 -4.54400778 -3.82687222]
22,ZKIN,RWT,0.001815118957328741,-4.394609177576386,[-4.71189859 -3.74466359 -3.32015   ]
23,HLX,HSII,0.00567247132130281,-4.071039076635544,[-4.5278525 -3.6586925 -3.26331  ]
24,CGTL,HSII,0.013795091903130056,-3.7942943134923603,[-4.41097576 -3.60256299 -3.22588889]
25,PSFE,QURE,0.02266439798206763,-3.627214078758157,[-4.1446366  -3.46922086 -3.13591962]
26,HSII,TNL,0.0009043257908880496,-4.579347071772463,[-4.11501519 -3.45384388 -3.12544096]
27,GEN,GWAV,0.0001405647836609839,-5.037208685773466,[-3.99508909 -3.39025238 -3.0818628 ]
28,GRND,OCFT,0.04464853256838159,-3.379762069293367,[-3.98846223 -3.3866712  -3.07939668]
29,OCFT,ADUR,0.025991075968155673,-3.5792000147646634,[-4.71189859 -3.74466359 -3.32015   ]
