index,Share_1,Share_2,mse

0,T,KMI,4.978427115079365
0,T,KMI,4.978427115079365
1,KMI,NCLH,4.806519742063492
0,GOOGL,GOOG,2.2339927579365093
0,GOOGL,GOOG,2.2339927579365093
1,AMCR,F,4.949756718333333
0,GOOGL,GOOG,2.2339927579365093
1,AMCR,PARA,2.2830046052631574
0,GOOGL,GOOG,2.2339927579365093
1,AMCR,VTRS,2.699712894736843
0,GOOGL,GOOG,2.2339927579365093
1,AMCR,VTRS,2.699712894736843
2,APA,MOS,4.993492694789473
0,GOOGL,GOOG,2.2339927579365093
1,AMCR,VTRS,2.699712894736843
2,APA,MOS,4.993492694789473
3,T,DOC,3.0703497000000004
0,GOOGL,GOOG,2.2339927579365093
1,AMCR,VTRS,2.699712894736843
2,APA,MOS,4.993492694789473
3,T,HPE,3.488226042578948
0,GOOGL,GOOG,2.2339927579365093
1,AMCR,VTRS,2.699712894736843
2,APA,MOS,4.993492694789473
3,T,KVUE,2.79094422631579
0,GOOGL,GOOG,2.2339927579365093
1,AMCR,VTRS,2.699712894736843
2,APA,MOS,4.993492694789473
3,T,KIM,3.77331367368421
0,GOOGL,GOOG,2.2339927579365093
1,AMCR,VTRS,2.699712894736843
2,APA,MOS,4.993492694789473
3,T,PCG,2.43862467368421
